AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage
"26322","1","J10","microSD Memory Card Connector with Detec","microSD Memory Card Connector with Detect Switch","microSD","","104031-0811","01","","Yes","SMT","","","","",""
"25393","8","L1, L2, L3, L4, L6, L7, L8, L10","BKP0603HS121-T","Ferritdurchführung SMD 0201","0603 (0201)","","INDC0603X33N","01","","Yes","SMT","Yes","","25%","",""
"22905","6","PM1, PM2, PM3, PM4, PM5, PM6","FIDU-DOT - small","FIDU-DOT - SMALL","","","FIDU-DOT - small","01","","","FIDU","","","","",""
"22598","19","R1, R4, R5, R10, R11, R13, R14, R15, R28, R29, R32, R33, R34, R35, R36, R38, R39, R40, R42","12K","WID SMD 12K 1% 0,063W","1005 (0402)","12K","RESC1005X40N","01","","","SMT","Yes","","","",""
"23730","3","R2, R7, R19","2K61","WID SMD 2K61 1% 0,063W","1005 (0402)","2.61K","RESC1005X40N","01","","","SMT","Yes","","1%","",""
"23661","8","R6, R8, R24, R25, R43, R44, R50, R51","240R","WID SMD 240R 1% 0,063W","1005 (0402)","240","RESC1005X40N","01","","","SMT","Yes","","1%","",""
"25021","8","R9, R12, R17, R18, R30, R37, R45, R46","33R","WID SMD 33R 1% 0,05W","0603 (0201)","33","RESC0603X26N","01","","","SMT","Yes","","1%","",""
"23160","6","R16, R20, R31, R55, R56, R57","1K13","WID SMD 1K13 1% 0,063W","1005 (0402)","1.13K","RESC1005X40N","01","","","SMT","Yes","","1%","",""
"26222","2","R21, R53","0R","WID SMD 0R 1% 0.063W AEC-Q200","1005 (0402)","0","RESC1005X40N","01","","","SMT","Yes","","","",""
"25100","2","R22, R23","80R6","WID SMD 80R6 1% 0,063W","1005 (0402)","80.6","RESC1005X40N","01","","","SMT","Yes","","1%","",""
"23846","1","R26","200K","WID SMD 200K 1% 0,063W","1005 (0402)","200K","RESC1005X40N","01","","","SMT","Yes","","1%","",""
"26224","1","R27","301K","WID SMD 301K 1% 0,063W","1005 (0402)","301k","RESC1005X40N","01","","","SMT","","","1%","",""
"25052","1","R41","8K06","WID SMD 8K06 1% 0,063W","1005 (0402)","8.06K","RESC1005X40N","01","","","SMT","Yes","","1%","",""
"26229","1","S1","KMS221GLFS","KMS221GLFS - SWITCH, SPST, 0.05A, 32VDC, SMD","","","KMS2xxGLFS","01","","","SMT","","","","",""
"25063","4","TP1, TP2, TP3, TP4","Testpoint 1mm","Testpoint 1mm","","","TP_1mm","01","","","SMT","","","","",""
"","1","U1","XC7Z7010-CLG225","","","","","01","","","","","","","",""
"24727","1","U3","FT2232HQ","FT2232HQ","QFN64","","QFN50P900X900X100-65N-445","01","","Yes","SMT","Yes","","","",""
"24840","2","U4, U22","PRTR5V0U2X,215","PRTR5V0U2X,215","SOT143","","SOT190P229X114-4N","01","","","SMT","Yes","","","",""
"26078","1","U5","S25FL127SABMFV10","S25FL127SABMFV10 automotive SO8","SO8W","","SOIC127P790X216-8N","01","","","SMT","","","","",""
"24730","1","U6","93AA56BT-I/OT","93AA56BT-I/OT","SOT23-6","","SOT95P280X145-6N","01","","Yes","SMT","Yes","","","",""
"25325","1","U7","SiT8008AI-73-XXS-12.000000E","SiT8008AI-73-XXS-12.000000E MEMS Oszillator 12MHz","2.0  x 1.6mm","12M","2016","01","","Yes","SMT","Yes","","","",""
"26300","1","U8","MT42L32M16D1AB-25 IT:A","MT42L32M16D1AB-25 IT:A","BGA121","","BGA121C50P15X11_800X650X80B32N","01","","","SMT","","","","",""
"26538","1","U10","CD74HC4051D","CD74HC4051D","SOIC16 D (R-PDSO-G16)","","SOIC127P600X175-16N","01","","Yes","SMT","","","","",""
"25377","1","U11","AD8031ART","AD8031ART","SOT23-5","","SOT95P280X145-5N","01","","Yes","SMT","","","","",""
"25009","1","U14","SiT8008AI-73-XXS-52.000000E","SiT8008AI-73-XXS-52.000000E MEMS Oszillator 52MHz","2.0  x 1.6mm","52M","2016","01","","Yes","SMT","Yes","","","",""
"25492","4","U16, U17, U19, U20","EN5311QI","EN5311QI","QFN20","","EN5311QI","01","","Yes","SMT","Yes","","","",""
"24992","1","U18","USB3320C-EZK","USB3320C-EZK","QFN32","","QFN50P500X500X100-33N-345","01","","Yes","SMT","","","","",""
"25167","1","U21","TPS2051DGN","TPS2051BDGN","","","SOP65P488X107-9N-TI","01","","Yes","SMT","Yes","","","",""
"25049","1","U23","TPS3805H33DCKR","TPS3805H33DCKR","SC70-5 / SC88A / SOT353","","SOT65P210X110-5N","01","","Yes","SMT","Yes","","","",""
